id,host_id,neighbourhood_cleansed,neighbourhood_group_cleansed,zipcode,latitude,longitude,price
15509,59777,Bedford-Stuyvesant,Brooklyn,11221,40.68538417,-73.9327087,59
2515,2758,Harlem,Manhattan,10026,40.7992048,-73.95367575,59
2539,2787,Kensington,Brooklyn,11218,40.64748608,-73.97236954,149
2595,2845,Midtown,Manhattan,10018,40.75362073,-73.98377381,225
15729,61531,Red Hook,Brooklyn,11231,40.67694748,-74.01120866,89
3330,4177,Williamsburg,Brooklyn,11206,40.70855778,-73.94236228,70
16326,63588,Prospect Heights,Brooklyn,11238,40.67810546,-73.96428442,200
3647,4632,Harlem,Manhattan,10027,40.80901785,-73.94190208,150
3831,4869,Clinton Hill,Brooklyn,11238,40.68513771,-73.9597575,89
16338,63613,Clinton Hill,Brooklyn,11205,40.68999661,-73.96787829,55
5022,7192,East Harlem,Manhattan,10029,40.79851419,-73.94399071,80
16421,63924,Hell's Kitchen,Manhattan,10036,40.75978558,-73.99119343,52
16458,64056,Park Slope,Brooklyn,11215,40.67342578,-73.98337719,225
16580,64442,East Village,Manhattan,10009,40.72648795,-73.97903515,80
16595,64522,Williamsburg,Brooklyn,11249,40.70933028,-73.96791761,375
16821,4396,East Village,Manhattan,10009,40.72298247,-73.98473633,79
5099,7322,Murray Hill,Manhattan,10016,40.74767177,-73.97499734,185
5121,7356,Bedford-Stuyvesant,Brooklyn,11216,40.68688196,-73.95595709,60
16885,25188,Murray Hill,Manhattan,10016,40.74450047,-73.97403722,329
16974,65837,East Harlem,Manhattan,10035,40.8016425,-73.93922139,225
5172,7386,Murray Hill,Manhattan,10016,40.74495768,-73.974201,129
5178,8967,Hell's Kitchen,Manhattan,10019,40.7648871,-73.98492985,79
16990,59777,Bedford-Stuyvesant,Brooklyn,11221,40.68493229,-73.93166104,59
5203,7490,Upper West Side,Manhattan,10025,40.8017793,-73.96722946,79
17092,66243,Hell's Kitchen,Manhattan,10019,40.76341923,-73.98865413,51
5216,7510,Flatiron District,Manhattan,10010,40.74357177,-73.98998746,126
17240,59777,Bedford-Stuyvesant,Brooklyn,11221,40.68511211,-73.93239571,69
17297,67105,Bedford-Stuyvesant,Brooklyn,11233,40.68134005,-73.93636742,180
5238,7549,Chinatown,Manhattan,10002,40.71344379,-73.99037468,120
17298,67105,Bedford-Stuyvesant,Brooklyn,11233,40.68290561,-73.93663815,180
5295,7702,Upper West Side,Manhattan,10025,40.80315811,-73.96544645,135
