ean_hotel_id,name,address1,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
269955,Hilton Garden Inn Albany/SUNY Area,1389 Washington Ave,Albany,NY,12206,42.68751,-73.81643,3,154.0272,124.0216
113431,Courtyard by Marriott Albany Thruway,1455 Washington Avenue,Albany,NY,12206,42.68971,-73.82021,3,179.01,134
108151,Radisson Hotel Albany,205 Wolf Rd,Albany,NY,12205,42.7241,-73.79822,3,134.17,84.16
254756,Hilton Garden Inn Albany Medical Center,62 New Scotland Ave,Albany,NY,12208,42.65157,-73.77638,3,308.2807,228.4597
198232,CrestHill Suites SUNY University Albany,1415 Washington Avenue,Albany,NY,12206,42.68873,-73.81854,3,169.39,89.39
125200,The Desmond Hotel Albany,660 Albany Shaker Rd,Albany,NY,12211,42.72874,-73.79807,3.5,189.0266,153.0644
109728,Ramada Plaza Albany,3 Watervliet Avenue Ext,Albany,NY,12206,42.68031,-73.78444,3,158.6321,89.036
235037,Hampton Inn & Suites Albany-Downtown,25 Chapel St,Albany,NY,12210,42.65334,-73.75142,2.5,225.47,224.47
106464,Albany Marriott,189 Wolf Rd,Albany,NY,12205,42.72111,-73.80036,3.5,158.8856,128.9077
106922,Best Western Sovereign Hotel - Albany,1228 Western Ave,Albany,NY,12203,42.67807,-73.82819,3,139.0244,78.3255
111647,Express Inn & Suites,16 Wolf Rd,Albany,NY,12205,42.70959,-73.82096,2.5,130.34,120.34
113084,Hilton Albany,40 Lodge Street,Albany,NY,12207,42.65082,-73.75377,3.5,294.32,199.32
118602,Holiday Inn Express Albany Downtown,300 Broadway,Albany,NY,12207,42.6456,-73.74992,2.5,135.0627,100.0442
437296,Residence Inn Albany Washington Avenue,124 Washington Avenue Extension,Albany,NY,12203,42.6931,-73.84938,3,189.16,179.16
122051,Courtyard by Marriott Albany Airport,168 Wolf Rd,Albany,NY,12205,42.72231,-73.80328,3,174,119.01
252452,"Cocca's Inn & Suites Wolf Rd, Albany Airport",2 Wolf Road,Albany,NY,12205,42.70898,-73.82207,2,132.65,60.45
134751,Days Inn and Suites Albany,1606 Central Avenue,Albany,NY,12205,42.7184,-73.83377,2,190.45,70.45
117936,Howard Johnson Inn - Albany,1614 Central Ave,Albany,NY,12205,42.71913,-73.83459,1.5,70.24,51.24
119964,Hampton Inn Albany-Western Ave/University Area,1442 Western Ave,Albany,NY,12203,42.68031,-73.8353,2.5,144.41,124.41
153579,TownePlace Suites by Marriott Albany University Area,1379 Washington Ave,Albany,NY,12206,42.68674,-73.8151,2.5,179.08,119.07
324138,Travelodge Inn And Suites Albany,42 Wolf Road,Albany,NY,12205,42.7119,-73.81709,2.5,74.43,54.43
127178,Red Roof Inn Albany Airport,188 Wolf Rd,Albany,NY,12205,42.72398,-73.80098,2,69.99,65.22
205279,Best Western Albany Airport Inn,200 Wolf Rd,Albany,NY,12205,42.72184,-73.80241,3,115.34,86.34
111978,Hampton Inn Albany-Wolf Road (Airport),10 Ulenski Dr,Albany,NY,12205,42.72441,-73.79661,2.5,139,84.1151
250526,Days Inn Albany SUNY,1230 Western Avenue,Albany,NY,12203,42.67816,-73.82843,2,180.22,76.63
268158,Homewood Suites by Hilton Albany,216 Wolf Rd,Albany,NY,12205,42.72519,-73.79819,3,194.3,179.3
130527,Extended Stay America - Albany - SUNY,1395 Washington Ave,Albany,NY,12206,42.68799,-73.81733,2.5,95.0707,90.0567
261882,SpringHill Suites by Marriott Albany-Colonie,8 California Ave,Albany,NY,12205,42.70373,-73.81575,3,189.3,161.3
127566,Quality Inn Central,1632 Central Ave,Albany,NY,12205,42.71977,-73.83534,2.5,99.38,89
125498,Econo Lodge Colonie Center Mall,1630 Central Ave,Albany,NY,12205,42.7195,-73.83502,2,65.9995,60.0006
275981,TownePlace Suites by Marriott Albany Downtown/Medical Center,22 Holland Ave,Albany,NY,12209,42.64651,-73.77209,2.5,139.06,129.06
150421,Fairfield Inn by Marriott Albany University Area,1383 Washington Avenue,Albany,NY,12206,42.68676,-73.81511,2.5,149.33,139.33
239994,Motel 6 - Albany Airport,1600 Central Ave,Albany,NY,12205,42.71784,-73.83317,1.5,50.47,45.47
458738,"Motel 6 Albany, New York",100 Watervliet Ave,Albany,NY,12206,42.67972,-73.78295,2,58.99,49.99
