areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08
All Downtown,Manhattan,submarket,3200.000,3200.000,3025.000,3100.000,3100.000,3200.000,3195.000,3200.000,3400.000,3495.000,3450.000,3400.000,3365.000,3397.000,3300.000,3300.000,3395.000,3400.000,3395.000,3495.000,3625.000,3660.000,3550.000,3495.000,3450.000,3450.000,3500.000,3500.000,3580.000,3550.000,3500.000,3550.000,3650.000,3600.000,3675.000,3675.000,3550.000,3500.000,3500.000,3500.000,3500.000,3500.000,3500.000,3585.000,3650.000,3650.000,3695.000,3600.000,3630.000,3600.000,3600.000,3650.000,3650.000,3595.000,3595.000,3595.000,3650.000,3600.000,3600.000,3600.000,3600.000,3639.000,3649.000,3700.000,3750.000,3700.000,3700.000,3774.000,3795.000,3800.000,3750.000,3775.000,3700.000,3709.000,3750.000,3795.000,3800.000,3850.000,3895.000,3795.000,3799.000,3760.000,3703.000,3650.000,3650.000,3700.000,3695.000,3715.000,3792.000,3725.000,3727.000,3700.000,3666.000,3665.000,3675.000,3644.000,3650.000,3750.000,3750.000,3760.000,3845.000,3800.000,3800.000,3800.000,3831.000,3800.000,3876.000,3800.000,3800.000,3883.000,3800.000,3950.000,4001.000,4095.000,4000.000,4000.000
All Midtown,Manhattan,submarket,2895.000,2800.000,2800.000,2850.000,2900.000,2950.000,3000.000,3000.000,3109.000,3134.000,3169.000,3171.000,3200.000,3200.000,3200.000,3200.000,3250.000,3300.000,3350.000,3300.000,3350.000,3395.000,3400.000,3375.000,3300.000,3288.000,3264.000,3350.000,3395.000,3395.000,3395.000,3400.000,3410.000,3400.000,3450.000,3450.000,3400.000,3425.000,3400.000,3395.000,3375.000,3395.000,3350.000,3395.000,3400.000,3400.000,3395.000,3400.000,3350.000,3390.000,3395.000,3400.000,3450.000,3450.000,3400.000,3400.000,3400.000,3450.000,3495.000,3500.000,3500.000,3500.000,3500.000,3500.000,3550.000,3525.000,3520.000,3510.000,3565.000,3500.000,3500.000,3500.000,3495.000,3500.000,3500.000,3550.000,3575.000,3501.000,3529.000,3500.000,3549.000,3500.000,3500.000,3500.000,3470.000,3495.000,3468.000,3500.000,3501.000,3530.000,3500.000,3500.000,3500.000,3500.000,3350.000,3350.000,3387.000,3398.000,3391.000,3450.000,3500.000,3500.000,3508.000,3500.000,3518.000,3550.000,3510.000,3551.000,3500.000,3550.000,3550.000,3595.000,3650.000,3695.000,3750.000,3795.000
All Upper East Side,Manhattan,submarket,2469.000,2450.000,2400.000,2500.000,2550.000,2550.000,2595.000,2500.000,2595.000,2550.000,2500.000,2550.000,2500.000,2500.000,2475.000,2500.000,2600.000,2695.000,2650.000,2695.000,2795.000,2800.000,2800.000,2800.000,2700.000,2700.000,2695.000,2695.000,2695.000,2750.000,2700.000,2750.000,2850.000,2795.000,2850.000,2850.000,2795.000,2837.000,2800.000,2750.000,2750.000,2750.000,2750.000,2800.000,2893.000,2850.000,2800.000,2800.000,2700.000,2790.000,2700.000,2700.000,2700.000,2700.000,2725.000,2700.000,2750.000,2750.000,2800.000,2849.000,2852.000,2900.000,2900.000,2875.000,2950.000,2995.000,2950.000,2995.000,3050.000,3000.000,2900.000,2963.000,2995.000,2975.000,3000.000,3000.000,3000.000,2995.000,2990.000,2925.000,2950.000,2950.000,2975.000,3000.000,2995.000,2995.000,2925.000,2950.000,2950.000,2950.000,2950.000,2900.000,2995.000,2950.000,2995.000,2991.000,2910.000,2895.000,2850.000,2850.000,2850.000,2900.000,2933.000,2900.000,2895.000,2995.000,2995.000,3000.000,3000.000,3000.000,2995.000,2995.000,3000.000,3075.000,3095.000,3000.000
All Upper Manhattan,Manhattan,submarket,1836.000,1800.000,1795.000,1800.000,1823.000,1850.000,1875.000,1850.000,1895.000,1875.000,1850.000,1850.000,1850.000,1800.000,1875.000,1895.000,1920.000,1950.000,1950.000,1976.000,1995.000,1985.000,1995.000,2000.000,2000.000,2000.000,2000.000,2000.000,1995.000,1963.000,2000.000,2050.000,2000.000,1995.000,2000.000,2000.000,1980.000,1995.000,2000.000,2000.000,2025.000,2100.000,2150.000,2150.000,2100.000,2000.000,2000.000,2000.000,2000.000,1995.000,2000.000,2090.000,2100.000,2100.000,2100.000,2149.000,2100.000,2150.000,2183.000,2190.000,2156.000,2200.000,2200.000,2200.000,2250.000,2290.000,2295.000,2300.000,2263.000,2275.000,2250.000,2250.000,2286.000,2280.000,2300.000,2373.000,2395.000,2350.000,2395.000,2400.000,2400.000,2395.000,2385.000,2379.000,2350.000,2300.000,2295.000,2325.000,2350.000,2350.000,2395.000,2395.000,2353.000,2338.000,2250.000,2295.000,2261.000,2291.000,2300.000,2350.000,2375.000,2395.000,2425.000,2400.000,2350.000,2339.000,2300.000,2300.000,2299.000,2320.000,2362.000,2400.000,2450.000,2500.000,2500.000,2498.000
All Upper West Side,Manhattan,submarket,2895.000,2800.000,2750.000,2800.000,2800.000,2795.000,2800.000,2895.000,2995.000,3050.000,3000.000,2995.000,2995.000,3000.000,2950.000,3000.000,3000.000,3100.000,3100.000,3200.000,3250.000,3344.000,3388.000,3475.000,3300.000,3200.000,3045.000,3150.000,3200.000,3200.000,3250.000,3300.000,3325.000,3350.000,3350.000,3300.000,3200.000,3250.000,3200.000,3200.000,3250.000,3163.000,3200.000,3250.000,3295.000,3300.000,3200.000,3230.000,3200.000,3195.000,3200.000,3295.000,3299.000,3285.000,3200.000,3200.000,3295.000,3300.000,3285.000,3250.000,3295.000,3300.000,3250.000,3300.000,3350.000,3395.000,3425.000,3500.000,3555.000,3504.000,3535.000,3500.000,3450.000,3450.000,3450.000,3475.000,3495.000,3450.000,3495.000,3425.000,3493.000,3450.000,3400.000,3375.000,3300.000,3313.000,3299.000,3300.000,3350.000,3380.000,3390.000,3395.000,3395.000,3395.000,3325.000,3350.000,3350.000,3295.000,3250.000,3293.000,3319.000,3350.000,3350.000,3330.000,3400.000,3399.000,3395.000,3400.000,3400.000,3360.000,3400.000,3483.000,3495.000,3495.000,3450.000,3600.000
Astoria,Queens,neighborhood,1600.000,1650.000,1620.000,1600.000,1700.000,1700.000,1600.000,1600.000,1600.000,1700.000,1650.000,1650.000,1600.000,1600.000,1750.000,1825.000,1900.000,1900.000,1820.000,1900.000,1900.000,1900.000,1973.000,2000.000,2000.000,2038.000,2038.000,2113.000,2100.000,1990.000,2175.000,2250.000,2250.000,2150.000,2046.000,2000.000,2000.000,2000.000,1950.000,2000.000,2200.000,2100.000,2200.000,2150.000,2150.000,2100.000,2000.000,2038.000,2100.000,2100.000,2100.000,2100.000,2100.000,2100.000,2100.000,2150.000,2200.000,2200.000,2200.000,2150.000,2200.000,2200.000,2200.000,2300.000,2300.000,2295.000,2300.000,2300.000,2200.000,2200.000,2200.000,2200.000,2200.000,2200.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2350.000,2300.000,2291.000,2275.000,2250.000,2200.000,2200.000,2200.000,2200.000,2250.000,2300.000,2300.000,2250.000,2195.000,2200.000,2195.000,2150.000,2117.000,2100.000,2100.000,2200.000,2200.000,2225.000,2250.000,2250.000,2200.000,2150.000,2150.000,2195.000,2200.000,2200.000,2200.000,2250.000,2300.000,2350.000,2350.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.000,,2300.000,2100.000,1995.000,1995.000,1950.000,1900.000,1995.000,1995.000,1695.000,,1798.000,1625.000,1795.000,1850.000,2100.000,2225.000,2100.000,2048.000,2048.000,2100.000,2000.000,,1895.000,2195.000,2195.000,2295.000,2095.000,2195.000,2198.000,1795.000,1995.000,1600.000,1795.000,2300.000,2300.000,2300.000,2095.000,2095.000,1850.000,2098.000,2095.000,2000.000,1895.000,1995.000,1995.000,1900.000,2045.000,2045.000,1995.000,1998.000,2000.000,1900.000,1650.000,2195.000
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075.000,1075.000,1188.000,1200.000,1075.000,1138.000,,,,,,,,,,,,,,,,,,,,,,1475.000,1638.000,1650.000,,,,2200.000,1725.000,1800.000,1775.000,1575.000,1450.000,,1700.000,1750.000,1775.000,1775.000,2000.000,1850.000,1613.000,1700.000,1700.000,1800.000,2000.000,2000.000,1898.000,1745.000,1950.000,2025.000,2175.000,2250.000,2050.000,2098.000,2000.000,2200.000,2200.000,1900.000,1900.000,2100.000,1950.000,1850.000,1950.000,1950.000,2000.000,1975.000,1950.000,1850.000,1898.000,2000.000,1848.000,1875.000,1950.000,2000.000,2023.000,2000.000,1850.000,1700.000,1675.000,1675.000,1750.000,1725.000,1675.000,1700.000,1575.000,1695.000,1675.000,1695.000,1750.000,1799.000,1795.000
Battery Park City,Manhattan,neighborhood,3495.000,3346.000,3268.000,3295.000,3100.000,3395.000,3200.000,3225.000,3360.000,3415.000,3348.000,3350.000,3300.000,3150.000,3195.000,3368.000,3700.000,3693.000,3625.000,3650.000,3840.000,3850.000,3700.000,3615.000,3400.000,3500.000,3500.000,3600.000,3798.000,3905.000,4450.000,4375.000,4185.000,4050.000,4100.000,3995.000,3800.000,3500.000,3500.000,3568.000,3875.000,3995.000,3850.000,3850.000,3863.000,3995.000,3850.000,3895.000,3900.000,4013.000,4100.000,3550.000,3695.000,4650.000,4300.000,4198.000,4500.000,4063.000,3898.000,3595.000,3800.000,3950.000,4025.000,4150.000,4518.000,4630.000,4700.000,4795.000,4750.000,4750.000,5100.000,4750.000,4611.000,4600.000,4595.000,4825.000,4600.000,4675.000,4650.000,4765.000,4750.000,4250.000,4050.000,4025.000,4175.000,3995.000,3910.000,3995.000,4350.000,4393.000,4515.000,4400.000,4546.000,4695.000,3880.000,3950.000,4200.000,4100.000,4050.000,4290.000,4650.000,4525.000,4750.000,4858.000,4998.000,4890.000,4500.000,4365.000,4465.000,4500.000,4320.000,4495.000,4960.000,5275.000,5300.000,4798.000
Bay Ridge,Brooklyn,neighborhood,1350.000,1388.000,1350.000,1350.000,1350.000,1350.000,1300.000,1300.000,1300.000,1400.000,1475.000,1450.000,1425.000,1425.000,1450.000,1500.000,1560.000,1510.000,1650.000,1750.000,1750.000,1550.000,1750.000,1600.000,1650.000,1495.000,1495.000,1700.000,1875.000,1450.000,1450.000,1498.000,1800.000,1800.000,1800.000,1925.000,1550.000,1498.000,1925.000,1795.000,1625.000,1600.000,1750.000,1650.000,1750.000,1650.000,1650.000,1650.000,1600.000,1600.000,1575.000,1600.000,1875.000,1900.000,1900.000,1800.000,1850.000,1800.000,1800.000,1735.000,1700.000,1700.000,1749.000,1800.000,1800.000,1800.000,1800.000,1850.000,1898.000,1850.000,1850.000,1875.000,1900.000,2000.000,2000.000,2000.000,2000.000,2100.000,2000.000,2098.000,2000.000,2100.000,2100.000,2100.000,2000.000,2000.000,1950.000,1975.000,2000.000,2000.000,1998.000,1897.000,1895.000,1900.000,1850.000,1850.000,2000.000,1995.000,1900.000,1975.000,1950.000,1950.000,1850.000,1995.000,2000.000,2000.000,1988.000,1900.000,1900.000,1999.000,2000.000,1988.000,1950.000,1900.000,1900.000,1950.000
