zip_code,area
10453,Central Bronx
10457,Central Bronx
10460,Central Bronx
10458,Bronx-Park_Fordham
10467,Bronx-Park_Fordham
10468,Bronx-Park_Fordham
10451,High-Bridge_Morrisania
10452,High-Bridge_Morrisania
10456,High-Bridge_Morrisania
10454,Hunts-Point_Mott-Haven
10455,Hunts-Point_Mott-Haven
10459,Hunts-Point_Mott-Haven
10474,Hunts-Point_Mott-Haven
10463,Kingsbridge_Riverdale
10471,Kingsbridge_Riverdale
10466,Northeast_Bronx
10469,Northeast_Bronx
10470,Northeast_Bronx
10475,Northeast_Bronx
10461,Southeast_Bronx
10462,Southeast_Bronx
10464,Southeast_Bronx
10465,Southeast_Bronx
10472,Southeast_Bronx
10473,Southeast_Bronx
11212,Central_Brooklyn
11213,Central_Brooklyn
11216,Central_Brooklyn
11233,Central_Brooklyn
11238,Central_Brooklyn
11209,Southwest_Brooklyn
11214,Southwest_Brooklyn
11228,Southwest_Brooklyn
11204,Borough_Park
11218,Borough_Park
11219,Borough_Park
11230,Borough_Park
11234,Canarsie_Flatlands
11236,Canarsie_Flatlands
11239,Canarsie_Flatlands
11223,Southwest_Brooklyn
11224,Southwest_Brooklyn
11229,Southwest_Brooklyn
11235,Southwest_Brooklyn
11201,Northwest_Brooklyn
11205,Northwest_Brooklyn
11215,Northwest_Brooklyn
11217,Northwest_Brooklyn
11231,Northwest_Brooklyn
11203,Flatbush
11210,Flatbush
11225,Flatbush
11226,Flatbush
11207,East_New_York-New_Lots
11208,East_New_York-New_Lots
11211,Greenpoint
11222,Greenpoint
11220,Sunset_Park
11232,Sunset_Park
11206,Bushwick_Williamsburg
11221,Bushwick_Williamsburg
11237,Bushwick_Williamsburg
10026,Central_Harlem
10027,Central_Harlem
10030,Central_Harlem
10037,Central_Harlem
10039,Central_Harlem
10001,Chelsea_Clinton
10011,Greenwich-Village_Soho
10018,Chelsea_Clinton
10019,Central_Park_South
10020,Chelsea_Clinton
10036,Chelsea_Clinton
10029,East_Harlem
10035,East_Harlem
10010,Gramercy-Park_Murray-Hill
10016,Gramercy-Park_Murray-Hill
10017,Gramercy-Park_Murray-Hill
10022,Gramercy-Park_Murray-Hill
10012,Greenwich-Village_Soho
10013,Greenwich-Village_Soho
10014,Greenwich-Village_Soho
10004,Lower_Manhattan
10005,Lower_Manhattan
10006,Lower_Manhattan
10007,Tribeca
10038,Lower_Manhattan
10280,Lower_Manhattan
10002,Lower_East_Side
10003,Lower_East_Side
10009,Lower_East_Side
10021,Upper_East_Side
10028,Upper_East_Side
10044,Upper_East_Side
10065,Upper_East_Side
10075,Upper_East_Side
10128,Upper_East_Side
10023,Upper_West_Side
10024,Upper_West_Side
10025,Upper_West_Side
10031,Inwood-Washington-Heights
10032,Inwood-Washington-Heights
10033,Inwood-Washington-Heights
10034,Inwood-Washington-Heights
10040,Inwood-Washington-Heights
11361,Northeast_Queens
11362,Northeast_Queens
11363,Northeast_Queens
11364,Northeast_Queens
11354,North_Queens
11355,North_Queens
11356,North_Queens
11357,North_Queens
11358,North_Queens
11359,North_Queens
11360,North_Queens
11365,Central_Queens
11366,Central_Queens
11367,Central_Queens
11412,Jamaica
11423,Jamaica
11432,Jamaica
11433,Jamaica
11434,Jamaica
11435,Jamaica
11436,Jamaica
11101,Northwest_Queens
11102,Northwest_Queens
11103,Northwest_Queens
11104,Northwest_Queens
11105,Northwest_Queens
11106,Northwest_Queens
11374,West_Central_Queens
11375,West_Central_Queens
11379,West_Central_Queens
11385,West_Central_Queens
11691,Rockaways
11692,Rockaways
11693,Rockaways
11694,Rockaways
11695,Rockaways
11697,Rockaways
11004,Southeast_Queens
11005,Southeast_Queens
11411,Southeast_Queens
11413,Southeast_Queens
11422,Southeast_Queens
11426,Southeast_Queens
11427,Southeast_Queens
11428,Southeast_Queens
11429,Southeast_Queens
11414,Southwest_Queens
11415,Southwest_Queens
11416,Southwest_Queens
11417,Southwest_Queens
11418,Southwest_Queens
11419,Southwest_Queens
11420,Southwest_Queens
11421,Southwest_Queens
11368,West_Queens
11369,West_Queens
11370,West_Queens
11372,West_Queens
11373,West_Queens
11377,West_Queens
11378,West_Queens
10302,Staten_Island
10303,Staten_Island
10310,Staten_Island
10306,Staten_Island
10307,Staten_Island
10308,Staten_Island
10309,Staten_Island
10312,Staten_Island
10301,Staten_Island
10304,Staten_Island
10305,Staten_Island
10314,Staten_Island
